team,country_code,group,base_elo_like_rating,attack_rating,defence_rating,form_rating,set_piece_threat,set_piece_weakness,open_play_threat,counterattack_threat,goalkeeper_rating,squad_depth
Argentina,ARG,Group A,90,0.79,0.805,0.68,0.607,0.452,0.758,0.634,0.72,0.69
Portugal,POR,Group A,86,0.73,0.773,0.623,0.607,0.476,0.728,0.605,0.688,0.63
France,FRA,Group A,89,0.779,0.783,0.647,0.651,0.44,0.728,0.638,0.71,0.68
Netherlands,NED,Group A,84,0.726,0.73,0.662,0.655,0.494,0.706,0.598,0.666,0.64
England,ENG,Group B,87,0.775,0.74,0.686,0.548,0.482,0.756,0.631,0.706,0.67
Brazil,BRA,Group B,88,0.801,0.742,0.64,0.594,0.446,0.792,0.653,0.724,0.69
Spain,ESP,Group B,85,0.782,0.704,0.614,0.592,0.452,0.733,0.619,0.694,0.65
Morocco,MAR,Group B,80,0.705,0.684,0.573,0.57,0.5,0.701,0.552,0.624,0.58
Germany,GER,Group C,85,0.692,0.749,0.639,0.557,0.446,0.708,0.585,0.652,0.65
Italy,ITA,Group C,83,0.691,0.72,0.598,0.57,0.47,0.711,0.589,0.645,0.61
Belgium,BEL,Group C,82,0.695,0.698,0.59,0.606,0.476,0.689,0.596,0.642,0.58
Croatia,CRO,Group C,81,0.7,0.676,0.581,0.642,0.5,0.688,0.603,0.64,0.58
Uruguay,URU,Group D,81,0.73,0.661,0.606,0.537,0.464,0.713,0.611,0.658,0.6
Colombia,COL,Group D,80,0.724,0.644,0.573,0.57,0.488,0.698,0.609,0.648,0.58
Mexico,MEX,Group D,78,0.716,0.623,0.532,0.597,0.512,0.679,0.604,0.631,0.54
USA,USA,Group D,77,0.716,0.604,0.507,0.629,0.446,0.67,0.603,0.623,0.52
Canada,CAN,Group E,74,0.652,0.611,0.508,0.515,0.47,0.611,0.558,0.58,0.48
Japan,JPN,Group E,78,0.712,0.626,0.557,0.595,0.434,0.704,0.617,0.637,0.56
South Korea,KOR,Group E,76,0.704,0.605,0.516,0.592,0.458,0.668,0.612,0.62,0.52
Senegal,SEN,Group E,77,0.729,0.607,0.54,0.638,0.482,0.704,0.634,0.638,0.55
Nigeria,NGA,Group F,75,0.67,0.622,0.54,0.52,0.506,0.653,0.591,0.6,0.5
Ghana,GHA,Group F,73,0.665,0.601,0.499,0.547,0.44,0.633,0.587,0.583,0.46
Egypt,EGY,Group F,76,0.714,0.61,0.523,0.595,0.464,0.672,0.62,0.626,0.54
Tunisia,TUN,Group F,72,0.653,0.584,0.49,0.57,0.488,0.627,0.573,0.565,0.44
Algeria,ALG,Group G,74,0.618,0.633,0.533,0.5,0.452,0.627,0.541,0.58,0.48
Saudi Arabia,KSA,Group G,71,0.599,0.611,0.492,0.522,0.476,0.586,0.524,0.553,0.42
Qatar,QAT,Group G,69,0.591,0.59,0.452,0.549,0.5,0.567,0.519,0.536,0.39
Australia,AUS,Group G,73,0.659,0.593,0.524,0.607,0.434,0.656,0.581,0.587,0.46
Switzerland,SUI,Group H,80,0.66,0.707,0.573,0.57,0.458,0.676,0.566,0.642,0.58
Denmark,DEN,Group H,79,0.66,0.686,0.565,0.604,0.482,0.677,0.569,0.637,0.56
Sweden,SWE,Group H,76,0.641,0.668,0.516,0.617,0.506,0.638,0.552,0.602,0.52
Norway,NOR,Group H,77,0.667,0.67,0.54,0.669,0.44,0.674,0.574,0.62,0.55
Serbia,SRB,Group I,75,0.67,0.622,0.54,0.52,0.506,0.653,0.591,0.6,0.5
Poland,POL,Group I,75,0.685,0.615,0.515,0.555,0.44,0.678,0.6,0.609,0.48
Austria,AUT,Group I,77,0.732,0.599,0.54,0.612,0.464,0.704,0.634,0.632,0.55
Turkey,TUR,Group I,76,0.729,0.585,0.532,0.644,0.488,0.704,0.634,0.628,0.53
Wales,WAL,Group J,72,0.668,0.576,0.49,0.5,0.452,0.652,0.584,0.568,0.44
Scotland,SCO,Group J,71,0.662,0.559,0.457,0.522,0.476,0.637,0.579,0.558,0.42
Chile,CHI,Group J,73,0.71,0.556,0.499,0.582,0.5,0.681,0.617,0.6,0.46
Ecuador,ECU,Group J,75,0.755,0.548,0.54,0.642,0.434,0.718,0.65,0.64,0.52
Paraguay,PAR,Group K,72,0.623,0.599,0.49,0.5,0.458,0.627,0.544,0.568,0.44
Peru,PER,Group K,72,0.638,0.591,0.49,0.535,0.482,0.652,0.553,0.577,0.44
Cameroon,CMR,Group K,73,0.665,0.579,0.499,0.582,0.506,0.656,0.575,0.591,0.46
Ivory Coast,CIV,Group K,74,0.693,0.568,0.508,0.63,0.44,0.681,0.598,0.606,0.49
South Africa,RSA,Group L,70,0.58,0.599,0.467,0.502,0.464,0.587,0.506,0.538,0.4
Costa Rica,CRC,Group L,69,0.579,0.578,0.426,0.535,0.488,0.589,0.51,0.532,0.38
Panama,PAN,Group L,68,0.578,0.556,0.418,0.569,0.512,0.567,0.513,0.526,0.36
New Zealand,NZL,Group L,67,0.578,0.535,0.41,0.603,0.446,0.568,0.515,0.52,0.35
